id,alert_text,category,source,severity,technique
1,User added to local Administrators group,Privilege Escalation,Windows Event Log,High,T1068
2,Unexpected sudo privilege granted to user account,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user,Privilege Escalation,Wazuh,High,T1068
4,Privilege escalation attempt detected through token manipulation,Privilege Escalation,Sysmon,Critical,T1134
5,Unauthorized modification of privileged group membership,Privilege Escalation,Windows Event Log,High,T1098
6,New administrator account created unexpectedly,Privilege Escalation,Wazuh,Critical,T1136
7,Elevation of privileges detected using UAC bypass,Privilege Escalation,Sysmon,Critical,T1548
8,User account granted root-level access,Privilege Escalation,Wazuh,High,T1068
9,Abuse of sudo permissions detected,Privilege Escalation,Wazuh,High,T1548
10,Privileged access obtained by standard user account,Privilege Escalation,Windows Event Log,Critical,T1068
11,Large outbound file transfer detected,Data Exfiltration,Security Onion,High,T1048
12,Sensitive data uploaded to external host,Data Exfiltration,Wazuh,Critical,T1048
13,Unusual outbound traffic volume observed,Data Exfiltration,Security Onion,High,T1048
14,Compressed archive transmitted externally,Data Exfiltration,Wazuh,High,T1567
15,Potential data theft activity detected,Data Exfiltration,Security Onion,Critical,T1048
16,Bulk transfer of files to remote server observed,Data Exfiltration,Wazuh,High,T1048
17,Outbound connection carrying large dataset identified,Data Exfiltration,Security Onion,High,T1048
18,Cloud storage upload activity exceeded threshold,Data Exfiltration,Wazuh,Medium,T1567
19,Unauthorized transmission of sensitive information detected,Data Exfiltration,Security Onion,Critical,T1048
20,External data synchronization activity observed,Data Exfiltration,Wazuh,Medium,T1567
21,Scheduled task created for persistence,Persistence,Wazuh,High,T1053
22,Registry startup key modified,Persistence,Sysmon,High,T1547
23,New startup service installed,Persistence,Wazuh,High,T1543
24,Cron job created for recurring execution,Persistence,Linux Audit,Medium,T1053
25,Persistence mechanism established through scheduled task,Persistence,Wazuh,High,T1053
26,Windows Run registry key modified,Persistence,Sysmon,High,T1547
27,Unauthorized service installation detected,Persistence,Wazuh,High,T1543
28,Startup folder modified with executable,Persistence,Sysmon,Medium,T1547
29,Backdoor configured for automatic execution,Persistence,Wazuh,Critical,T1547
30,Persistence achieved through registry modification,Persistence,Sysmon,High,T1547
31,PsExec execution detected on remote host,Lateral Movement,Sysmon,High,T1021
32,Remote desktop session initiated between hosts,Lateral Movement,Windows Event Log,Medium,T1021
33,SMB lateral movement activity observed,Lateral Movement,Security Onion,High,T1021
34,Remote service creation detected,Lateral Movement,Sysmon,High,T1021
35,Administrative share accessed remotely,Lateral Movement,Wazuh,Medium,T1021
36,RDP authentication from unusual host detected,Lateral Movement,Windows Event Log,High,T1021
37,Remote command execution observed across systems,Lateral Movement,Sysmon,Critical,T1021
38,Credential reuse detected on multiple hosts,Lateral Movement,Wazuh,High,T1078
39,Windows Management Instrumentation used remotely,Lateral Movement,Sysmon,High,T1047
40,Suspicious remote administration activity detected,Lateral Movement,Security Onion,High,T1021
41,Multiple failed SSH login attempts detected,Brute Force,Wazuh,High,
42,Repeated authentication failures against administrator account,Brute Force,Wazuh,High,
43,Password spraying activity observed across multiple user accounts,Brute Force,Wazuh,High,
44,Excessive VPN login failures detected,Brute Force,Wazuh,High,
45,Windows account lockout triggered after failed logins,Brute Force,Windows Event Log,Medium,
46,Repeated RDP authentication failures detected,Brute Force,Windows Event Log,High,
47,Credential guessing activity identified from external IP,Brute Force,Security Onion,High,
48,Multiple invalid login attempts observed within short time period,Brute Force,Wazuh,Medium,
49,SSH brute force attack detected against server,Brute Force,Wazuh,High,
50,Authentication threshold exceeded due to failed login attempts,Brute Force,Wazuh,Medium,
51,Failed SSH authentication attempts exceeded threshold,Brute Force,Wazuh,High,
52,Multiple user accounts targeted by password spray attack,Brute Force,Wazuh,High,
53,Administrator account experienced repeated login failures,Brute Force,Windows Event Log,High,
54,High volume of failed VPN authentications observed,Brute Force,Wazuh,High,
55,Remote login service targeted by credential guessing attack,Brute Force,Security Onion,High,
56,Numerous failed login attempts detected from single source IP,Brute Force,Wazuh,Medium,
57,Authentication failures detected across multiple hosts,Brute Force,Security Onion,High,
58,Repeated login attempts against privileged account,Brute Force,Windows Event Log,High,
59,Brute force behavior detected against SSH daemon,Brute Force,Wazuh,High,
60,Excessive authentication failures indicate possible brute force attack,Brute Force,Wazuh,Medium,
61,Encoded PowerShell command executed,Malware,Sysmon,Critical,T1059
62,Suspicious executable downloaded from external server,Malware,Wazuh,Critical,T1204
63,Known malware hash detected on endpoint,Malware,Wazuh,Critical,T1204
64,Ransomware-like file encryption activity observed,Malware,Sysmon,Critical,T1486
65,Malicious script execution detected,Malware,Sysmon,High,T1059
66,Suspicious DLL loaded into process memory,Malware,Sysmon,High,T1055
67,Payload downloaded and executed from remote location,Malware,Wazuh,Critical,T1105
68,Trojan behavior detected on workstation,Malware,Wazuh,High,T1204
69,Malicious macro execution detected in document,Malware,Sysmon,High,T1204
70,Unauthorized binary executed from temporary directory,Malware,Wazuh,Medium,T1204
71,TCP SYN scan detected against internal network,Reconnaissance,Security Onion,Medium,T1046
72,Nmap service discovery scan observed,Reconnaissance,Security Onion,Medium,T1046
73,Multiple hosts scanned within short time period,Reconnaissance,Security Onion,Medium,T1046
74,ICMP sweep activity detected across subnet,Reconnaissance,Security Onion,Low,T1018
75,Port scanning behavior identified from external IP,Reconnaissance,Security Onion,Medium,T1046
76,Network reconnaissance activity detected,Reconnaissance,Wazuh,Medium,T1046
77,Host discovery scan observed against multiple systems,Reconnaissance,Security Onion,Low,T1018
78,Sequential port probing detected,Reconnaissance,Security Onion,Medium,T1046
79,High volume of connection attempts suggests port scanning,Reconnaissance,Security Onion,Medium,T1046
80,Service enumeration activity detected,Reconnaissance,Wazuh,Low,T1046
81,Credential harvesting email detected,Phishing,Microsoft Defender,High,T1566
82,Malicious URL embedded in email message,Phishing,Email Gateway,High,T1566
83,User accessed known phishing domain,Phishing,Wazuh,High,T1566
84,Suspicious email attachment opened by user,Phishing,Microsoft Defender,High,T1566
85,Email containing spoofed login page detected,Phishing,Email Gateway,Medium,T1566
86,Potential business email compromise attempt observed,Phishing,Microsoft Defender,High,T1566
87,User submitted credentials to suspicious website,Phishing,Wazuh,Critical,T1566
88,Phishing campaign targeting corporate users detected,Phishing,Email Gateway,High,T1566
89,Suspicious hyperlink clicked from email,Phishing,Microsoft Defender,Medium,T1566
90,Email attachment executed malicious script,Phishing,Microsoft Defender,Critical,T1566
