id,alert_text,category,source,severity,technique
1,User added to local Administrators group,Privilege Escalation,Windows Event Log,High,T1068
1,User added to local Administrators group from 192.168.1.10 targeting workstation-22 user svc_backup,Privilege Escalation,Windows Event Log,High,T1068
1,User added to local Administrators group from 192.168.1.10 targeting srv-db user john,Privilege Escalation,Windows Event Log,High,T1068
1,User added to local Administrators group from 172.16.0.15 targeting dc01 user svc_backup,Privilege Escalation,Windows Event Log,High,T1068
1,User added to local Administrators group from 10.0.0.5 targeting srv-db user svc_backup,Privilege Escalation,Windows Event Log,High,T1068
1,User added to local Administrators group from 10.0.0.5 targeting dc01 user admin,Privilege Escalation,Windows Event Log,High,T1068
2,Unexpected sudo privilege granted to user account,Privilege Escalation,Wazuh,High,T1068
2,Unexpected sudo privilege granted to user account from 10.0.0.5 targeting srv-db user administrator,Privilege Escalation,Wazuh,High,T1068
2,Unexpected sudo privilege granted to user account from 172.16.0.15 targeting workstation-22 user admin,Privilege Escalation,Wazuh,High,T1068
2,Unexpected sudo privilege granted to user account from 192.168.1.10 targeting srv-db user administrator,Privilege Escalation,Wazuh,High,T1068
2,Unexpected sudo privilege granted to user account from 10.0.0.5 targeting web01 user admin,Privilege Escalation,Wazuh,High,T1068
2,Unexpected sudo privilege granted to user account from 10.0.0.5 targeting srv-db user svc_backup,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user from 172.16.0.15 targeting srv-db user john,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user from 172.16.0.15 targeting srv-db user admin,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user from 192.168.1.10 targeting web01 user john,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user from 10.10.10.20 targeting workstation-22 user john,Privilege Escalation,Wazuh,High,T1068
3,Administrative rights assigned to non-privileged user from 192.168.1.10 targeting srv-db user john,Privilege Escalation,Wazuh,High,T1068
4,Privilege escalation attempt detected through token manipulation,Privilege Escalation,Sysmon,Critical,T1134
4,Privilege escalation attempt detected through token manipulation from 172.16.0.15 targeting web01 user svc_backup,Privilege Escalation,Sysmon,Critical,T1134
4,Privilege escalation attempt detected through token manipulation from 10.0.0.5 targeting web01 user admin,Privilege Escalation,Sysmon,Critical,T1134
4,Privilege escalation attempt detected through token manipulation from 10.10.10.20 targeting workstation-22 user svc_backup,Privilege Escalation,Sysmon,Critical,T1134
4,Privilege escalation attempt detected through token manipulation from 10.10.10.20 targeting workstation-22 user john,Privilege Escalation,Sysmon,Critical,T1134
4,Privilege escalation attempt detected through token manipulation from 172.16.0.15 targeting srv-db user john,Privilege Escalation,Sysmon,Critical,T1134
5,Unauthorized modification of privileged group membership,Privilege Escalation,Windows Event Log,High,T1098
5,Unauthorized modification of privileged group membership from 10.10.10.20 targeting dc01 user administrator,Privilege Escalation,Windows Event Log,High,T1098
5,Unauthorized modification of privileged group membership from 172.16.0.15 targeting dc01 user svc_backup,Privilege Escalation,Windows Event Log,High,T1098
5,Unauthorized modification of privileged group membership from 192.168.1.10 targeting srv-db user admin,Privilege Escalation,Windows Event Log,High,T1098
5,Unauthorized modification of privileged group membership from 172.16.0.15 targeting web01 user admin,Privilege Escalation,Windows Event Log,High,T1098
5,Unauthorized modification of privileged group membership from 172.16.0.15 targeting dc01 user admin,Privilege Escalation,Windows Event Log,High,T1098
6,New administrator account created unexpectedly,Privilege Escalation,Wazuh,Critical,T1136
6,New administrator account created unexpectedly from 10.10.10.20 targeting dc01 user john,Privilege Escalation,Wazuh,Critical,T1136
6,New administrator account created unexpectedly from 10.10.10.20 targeting workstation-22 user admin,Privilege Escalation,Wazuh,Critical,T1136
6,New administrator account created unexpectedly from 172.16.0.15 targeting srv-db user admin,Privilege Escalation,Wazuh,Critical,T1136
6,New administrator account created unexpectedly from 192.168.1.10 targeting dc01 user administrator,Privilege Escalation,Wazuh,Critical,T1136
6,New administrator account created unexpectedly from 172.16.0.15 targeting web01 user administrator,Privilege Escalation,Wazuh,Critical,T1136
7,Elevation of privileges detected using UAC bypass,Privilege Escalation,Sysmon,Critical,T1548
7,Elevation of privileges detected using UAC bypass from 10.10.10.20 targeting srv-db user admin,Privilege Escalation,Sysmon,Critical,T1548
7,Elevation of privileges detected using UAC bypass from 10.10.10.20 targeting srv-db user admin,Privilege Escalation,Sysmon,Critical,T1548
7,Elevation of privileges detected using UAC bypass from 172.16.0.15 targeting dc01 user administrator,Privilege Escalation,Sysmon,Critical,T1548
7,Elevation of privileges detected using UAC bypass from 172.16.0.15 targeting workstation-22 user john,Privilege Escalation,Sysmon,Critical,T1548
7,Elevation of privileges detected using UAC bypass from 172.16.0.15 targeting srv-db user svc_backup,Privilege Escalation,Sysmon,Critical,T1548
8,User account granted root-level access,Privilege Escalation,Wazuh,High,T1068
8,User account granted root-level access from 10.10.10.20 targeting workstation-22 user administrator,Privilege Escalation,Wazuh,High,T1068
8,User account granted root-level access from 172.16.0.15 targeting srv-db user administrator,Privilege Escalation,Wazuh,High,T1068
8,User account granted root-level access from 10.10.10.20 targeting web01 user admin,Privilege Escalation,Wazuh,High,T1068
8,User account granted root-level access from 192.168.1.10 targeting srv-db user administrator,Privilege Escalation,Wazuh,High,T1068
8,User account granted root-level access from 172.16.0.15 targeting dc01 user john,Privilege Escalation,Wazuh,High,T1068
9,Abuse of sudo permissions detected,Privilege Escalation,Wazuh,High,T1548
9,Abuse of sudo permissions detected from 172.16.0.15 targeting workstation-22 user administrator,Privilege Escalation,Wazuh,High,T1548
9,Abuse of sudo permissions detected from 10.0.0.5 targeting srv-db user administrator,Privilege Escalation,Wazuh,High,T1548
9,Abuse of sudo permissions detected from 10.0.0.5 targeting web01 user svc_backup,Privilege Escalation,Wazuh,High,T1548
9,Abuse of sudo permissions detected from 10.10.10.20 targeting workstation-22 user john,Privilege Escalation,Wazuh,High,T1548
9,Abuse of sudo permissions detected from 10.0.0.5 targeting dc01 user svc_backup,Privilege Escalation,Wazuh,High,T1548
10,Privileged access obtained by standard user account,Privilege Escalation,Windows Event Log,Critical,T1068
10,Privileged access obtained by standard user account from 192.168.1.10 targeting workstation-22 user john,Privilege Escalation,Windows Event Log,Critical,T1068
10,Privileged access obtained by standard user account from 10.0.0.5 targeting web01 user svc_backup,Privilege Escalation,Windows Event Log,Critical,T1068
10,Privileged access obtained by standard user account from 172.16.0.15 targeting srv-db user admin,Privilege Escalation,Windows Event Log,Critical,T1068
10,Privileged access obtained by standard user account from 10.0.0.5 targeting srv-db user admin,Privilege Escalation,Windows Event Log,Critical,T1068
10,Privileged access obtained by standard user account from 192.168.1.10 targeting workstation-22 user admin,Privilege Escalation,Windows Event Log,Critical,T1068
11,Large outbound file transfer detected,Data Exfiltration,Security Onion,High,T1048
11,Large outbound file transfer detected from 172.16.0.15 targeting web01 user svc_backup,Data Exfiltration,Security Onion,High,T1048
11,Large outbound file transfer detected from 10.10.10.20 targeting web01 user admin,Data Exfiltration,Security Onion,High,T1048
11,Large outbound file transfer detected from 10.10.10.20 targeting web01 user john,Data Exfiltration,Security Onion,High,T1048
11,Large outbound file transfer detected from 172.16.0.15 targeting workstation-22 user administrator,Data Exfiltration,Security Onion,High,T1048
11,Large outbound file transfer detected from 192.168.1.10 targeting srv-db user administrator,Data Exfiltration,Security Onion,High,T1048
12,Sensitive data uploaded to external host,Data Exfiltration,Wazuh,Critical,T1048
12,Sensitive data uploaded to external host from 10.10.10.20 targeting dc01 user admin,Data Exfiltration,Wazuh,Critical,T1048
12,Sensitive data uploaded to external host from 172.16.0.15 targeting workstation-22 user john,Data Exfiltration,Wazuh,Critical,T1048
12,Sensitive data uploaded to external host from 192.168.1.10 targeting dc01 user john,Data Exfiltration,Wazuh,Critical,T1048
12,Sensitive data uploaded to external host from 192.168.1.10 targeting web01 user admin,Data Exfiltration,Wazuh,Critical,T1048
12,Sensitive data uploaded to external host from 10.10.10.20 targeting srv-db user administrator,Data Exfiltration,Wazuh,Critical,T1048
13,Unusual outbound traffic volume observed,Data Exfiltration,Security Onion,High,T1048
13,Unusual outbound traffic volume observed from 10.0.0.5 targeting dc01 user administrator,Data Exfiltration,Security Onion,High,T1048
13,Unusual outbound traffic volume observed from 10.0.0.5 targeting web01 user admin,Data Exfiltration,Security Onion,High,T1048
